P_10,P_11,P_12,P_13,P_14,P_15,P_16,P_20,P_21,P_22,P_23,P_24,P_25,P_26,P_30,P_31,P_32,P_33,P_34,P_35,P_36,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_50,P_51,P_52,P_53,P_54,P_55,P_56,P_60,P_61,P_62,P_63,P_64,P_65,P_66,Won
0,0,0,0,0,0,0,0,1,0,-1,0,0,-1,-1,1,1,1,0,1,1,-1,1,-1,0,1,-1,-1,1,-1,1
0,0,0,-1,0,0,0,0,0,-1,0,0,0,0,0,-1,0,-1,0,0,0,1,1,1,-1,0,1,-1,-1,-1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,-1,0,1,0,1,1,1,-1,1,0,-1,1
0,0,0,0,0,0,0,0,0,0,-1,0,0,1,-1,0,1,0,0,1,-1,0,1,0,0,1,-1,0,-1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,-1,0,1,-1,1,0,-1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,1,1,0,0,0,0,-1,1,0,0,1,-1
0,0,0,0,0,0,0,0,0,0,0,-1,0,-1,0,0,0,-1,0,1,0,1,0,1,0,1,0,-1,0,1,-1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,1,0,1,-1,1,-1,-1,1,1,1,1,-1,1
-1,0,0,0,0,-1,1,0,0,-1,0,1,-1,0,1,1,0,1,1,-1,-1,-1,1,-1,-1,1,-1,1,-1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,-1,-1,-1,-1,0,-1
0,0,0,0,0,0,0,0,1,0,0,0,0,0,-1,0,0,0,1,1,1,1,-1,0,-1,-1,1,1,1,0,1
0,0,0,0,0,0,0,0,-1,0,0,0,0,0,1,0,0,0,0,0,-1,1,0,0,0,0,1,1,-1,0,-1
